displayValue,id,headline,headlineV2/text
Sugar and Confectionery Product Manufacturing,495,Sugar and Confectionery Product Manufacturing,Sugar and Confectionery Product Manufacturing
Pipeline Transportation,1520,Pipeline Transportation,Pipeline Transportation
Fruit and Vegetable Preserves Manufacturing,504,Fruit and Vegetable Preserves Manufacturing,Fruit and Vegetable Preserves Manufacturing
Sightseeing Transportation,1532,Sightseeing Transportation,Sightseeing Transportation
Meat Products Manufacturing,521,Meat Products Manufacturing,Meat Products Manufacturing
Seafood Product Manufacturing,528,Seafood Product Manufacturing,Seafood Product Manufacturing
Baked Goods Manufacturing,529,Baked Goods Manufacturing,Baked Goods Manufacturing
Postal Services,1573,Postal Services,Postal Services
Breweries,562,Breweries,Breweries
Distilleries,564,Distilleries,Distilleries
"Technology, Information and Media",1594,"Technology, Information and Media","Technology, Information and Media"
Periodical Publishing,1600,Periodical Publishing,Periodical Publishing
Book Publishing,1602,Book Publishing,Book Publishing
Movie and Video Distribution,1611,Movie and Video Distribution,Movie and Video Distribution
Apparel Manufacturing,598,Apparel Manufacturing,Apparel Manufacturing
Sound Recording,1623,Sound Recording,Sound Recording
Sheet Music Publishing,1625,Sheet Music Publishing,Sheet Music Publishing
Radio and Television Broadcasting,1633,Radio and Television Broadcasting,Radio and Television Broadcasting
Fashion Accessories Manufacturing,615,Fashion Accessories Manufacturing,Fashion Accessories Manufacturing
Leather Product Manufacturing,616,Leather Product Manufacturing,Leather Product Manufacturing
Cable and Satellite Programming,1641,Cable and Satellite Programming,Cable and Satellite Programming
Telecommunications Carriers,1644,Telecommunications Carriers,Telecommunications Carriers
Footwear Manufacturing,622,Footwear Manufacturing,Footwear Manufacturing
Satellite Telecommunications,1649,Satellite Telecommunications,Satellite Telecommunications
Women's Handbag Manufacturing,625,Women's Handbag Manufacturing,Women's Handbag Manufacturing
Credit Intermediation,1673,Credit Intermediation,Credit Intermediation
Savings Institutions,1678,Savings Institutions,Savings Institutions
Loan Brokers,1696,Loan Brokers,Loan Brokers
Oil and Coal Product Manufacturing,679,Oil and Coal Product Manufacturing,Oil and Coal Product Manufacturing
Securities and Commodity Exchanges,1713,Securities and Commodity Exchanges,Securities and Commodity Exchanges
Chemical Raw Materials Manufacturing,690,Chemical Raw Materials Manufacturing,Chemical Raw Materials Manufacturing
Investment Advice,1720,Investment Advice,Investment Advice
Insurance Carriers,1725,Insurance Carriers,Insurance Carriers
Artificial Rubber and Synthetic Fiber Manufacturing,703,Artificial Rubber and Synthetic Fiber Manufacturing,Artificial Rubber and Synthetic Fiber Manufacturing
